Schools_Cleaned,Average GPA,NCLEX Pass Rate,GPA z-score,NCLEX Pass Rate z-score,Final Hard Skills Score,Completion %,Average hour per person,Retention rate,Completion % z-score,Average hour per person z-score,Retention rate z-score,Final Soft Skills Score,Composite Z-Score
brenau university - pre-licensure masters,3.4347826086956523,94.55,0.0645118721448379,0.8435452207089439,0.3761252115704803,0.0930232558139534,118.55813953488372,0.7065217391304348,-0.9876783424428476,2.252415478118043,-0.231478998205997,0.3444193791563994,0.36027229536343985
brenau university - bachelors,3.4347826086956523,88.41,0.0645118721448379,-0.2438718809397848,-0.0588416290890111,0.0930232558139534,118.55813953488372,0.7065217391304348,-0.9876783424428476,2.252415478118043,-0.231478998205997,0.3444193791563994,0.14278887503369417
emory university - bachelors,3.62406015037594,90.48,1.1376173113224604,0.1227329074010745,0.7316635497539059,0.9261744966442952,59.986577181208055,0.7293233082706767,1.254594923632846,-0.1536373153314748,-0.0323864009067631,0.3561904024648692,0.5439269761093876
emory university - pre-licensure masters,3.62406015037594,85.76,1.1376173113224604,-0.7131968515210749,0.3972916461850461,0.9261744966442952,59.986577181208055,0.7293233082706767,1.254594923632846,-0.1536373153314748,-0.0323864009067631,0.3561904024648692,0.37674102432495765
georgia gwinnett college,3.506756756756757,93.36,0.4725679419716928,0.6327917433535718,0.5366574625244445,0.2972972972972973,47.351351351351354,0.7297297297297297,-0.4379123459176003,-0.6726779415695148,-0.0288377195250857,-0.3798093356707336,0.07842406342685543
georgia state university - associates,3.5710526315789473,97.75,0.8370921870346317,1.4102772606561644,1.0663662164832448,0.3833333333333333,61.6,0.7157894736842105,-0.206362185432377,-0.0873597512001171,-0.1505574909166311,-0.1480931425163751,0.4591365369834349
georgia state university - bachelors,3.5710526315789473,87.65,0.8370921870346317,-0.378470740427248,0.3508670160498798,0.3833333333333333,61.6,0.7157894736842105,-0.206362185432377,-0.0873597512001171,-0.1505574909166311,-0.1480931425163751,0.10138693676675235
kennesaw state university,3.571888412017167,91.28,0.8418306284062277,0.264415917387879,0.6108647439988882,0.9444444444444444,43.22222222222222,0.7253218884120172,1.3037651264930672,-0.8422978437272289,-0.0673249206044829,0.1313807873871184,0.3711227656930033
university of north georgia,3.590909090909091,93.05,0.9496680072868736,0.5778895769836845,0.8009566351655979,0.625,78.75,0.6136363636363636,0.4440391815850172,0.6171426344199535,-1.0425104910163665,0.0062237749962014,0.40359020508089966
university of west georgia,3.5850515463917527,83.33,0.9164587695401262,-1.1435589943559965,0.092451663981677,0.0,36.0,0.7731958762886598,-1.238033319322037,-1.138978472592176,0.350688266593725,-0.6754411751068292,-0.2914947555625761
